Cluster #0,Cluster #1,Cluster #2,Cluster #3,Cluster #4,Cluster #5,Cluster #6,Cluster #7,Cluster #8,Cluster #9,Cluster #10,Cluster #11,Cluster #12,Cluster #13,Cluster #14,Cluster #15,Cluster #16,Cluster #17,Cluster #18,Cluster #19,Cluster #20,Cluster #21,Cluster #22,Cluster #23,Cluster #24,Cluster #25,Cluster #26,Cluster #27,Cluster #28,Cluster #29,Cluster #30,Cluster #31,Cluster #32,Cluster #33,Cluster #34,Cluster #35,Cluster #36,Cluster #37,Cluster #38,Cluster #39,Cluster #40,Cluster #41,Cluster #42,Cluster #43,Cluster #44,Cluster #45,Cluster #46,Cluster #47,Cluster #48,Cluster #49,Cluster #50,Cluster #51,Cluster #52,Cluster #53,Cluster #54,Cluster #55,Cluster #56,Cluster #57
0.2248986476,0.287041695,0.5770425828,1.229051381,0.3669398988,0.08976217954,0.9084721688,0.1094901311,1.399698162,0.7762948934,0.09962615532,0.2515313822,0.1183677093,1.768610856,0.9548328549,0.05721105949,0.1272452875,2.726402904,0.5296954991,0.5523826433,0.4665660541,0.7121790509,0.3383343691,4.980321368,0.6638455696,0.2584361653,0.2594225629,0.1972795155,1.622624015,20.22115034,0.09568056501,0.401463814,37.94474201,0.5296954991,0.1341500705,0.1183677093,1.281330453,1.347419091,1.305003995,0.8512611093,0.7131654485,0.4586748735,2.712593338,0.6017025222,0.08088460135,0.6687775575,0.1765651664,1.114629262,0.4744572347,0.8344923505,1.500310715,1.925448071,0.2880280926,0.2130618767,1.134357214,0.05523826433,0.06806143284,0.09568056501
0.1466253943,0.3100361873,0.2749843254,1.042175783,0.1950068376,0.1288526193,0.2581989267,0.2902886595,0.7780525975,0.3761904057,1.668666104,0.1298399957,0.05331832521,2.000424572,0.1994500313,0.05035619603,0.281402272,3.355598671,0.3283026506,0.2552367975,0.2883139067,0.2443756572,0.4117359558,3.690319268,1.30580528,0.741519671,0.3199099513,0.4660416574,3.274633807,19.71691919,0.05035619603,0.6343893324,32.53652058,0.01629171048,0.110586156,0.3381764145,1.131533346,1.341844518,3.149237005,1.565978959,0.2226533766,0.9705909941,1.752593097,0.4556742053,0.2705411316,2.682207971,4.154386173,0.07997748782,0.1234220491,0.2606673677,0.8328519873,2.37315916,0.1718034924,0.1051555858,0.2759717018,0.07454691766,1.062416999,0.6738843881
1.392767538,0.2203072777,0.9765330638,2.902559465,1.16182168,0.2136581647,0.464108088,0.08998466271,0.9127015789,0.4184508453,0.1108185501,0.148053583,0.1396313732,0.3156112308,0.9095986595,0.04166777485,0.6405312198,0.03945140385,0.04920343626,8.205448726,5.864074399,0.4078122645,0.2225236487,0.6879615593,1.062528259,0.1179109373,0.2061225033,0.1112618243,0.2322756811,1.794373964,0.04211104905,0.159135438,51.87770951,0.07003732369,0.04122450065,0.1963704708,0.8315824002,1.851113062,4.228835873,2.433575361,0.1542594218,0.2296160359,2.292170891,0.1312091634,0.05718237187,0.3563924572,0.775729851,0.09397413052,0.3266930858,0.139188099,0.6950539465,1.301896327,0.3054159242,0.2034628581,0.7012597853,0.2712838107,0.06294493648,0.1108185501
0.4166897721,0.4570912519,1.254822432,0.625826844,0.4198585156,0.4396631626,0.4832333859,0.0958544913,0.71692822,1.171642914,0.05624519737,0.09506230542,0.1283341123,1.24927713,2.338532713,0.195669912,0.5434395126,0.345393043,0.01822027521,1.425142395,0.3834179652,0.2946931468,0.5806722489,1.64140914,1.523373444,0.6274112158,1.177188215,0.3620289465,0.5378942115,7.67865772,0.254291667,0.7644593727,42.15854808,0.09823104893,0.9007153438,0.5069989622,0.228149533,2.463698082,1.313444187,1.944024146,0.2503307376,0.36519769,1.57803427,0.3905476381,0.8531841911,0.3311336972,1.116189903,0.09189356191,0.4135210286,0.07129672906,1.476634478,9.200446793,0.1505153169,0.1116982089,0.4325334897,0.1116982089,0.7636671869,4.375242607
0.04697904326,0.195677928,0.4546754361,1.62343233,3.599820254,0.2181461661,0.5853997304,0.03676620777,0.6266595858,0.2532783202,0.06413660689,0.045753503,0.05800890559,2.621430614,2.319539197,0.1352179419,0.2594060215,3.5646881,0.5135013685,0.2169206258,0.3917643695,0.3141468197,0.4142326075,6.596266187,0.08170268393,0.1973119817,2.55525144,0.3133297929,1.549899914,19.16540708,0.3619428898,0.618080804,29.68176805,0.1339924017,0.1960864414,0.2132440051,0.4853139426,5.401364435,2.218636382,1.740267168,0.277380612,0.1107071367,1.556436129,0.3129212795,0.002451080518,0.2205972466,0.8358184566,0.03676620777,0.7892479268,0.04289390906,0.5874422975,1.710037175,0.1045794354,0.08823889865,2.425344173,0.4800032681,0.1462478042,0.203439683
0.09044649685,0.3125183834,0.1000058827,1.714806753,3.78698747,0.3625213248,0.08309312312,0.1610388846,0.658862286,0.1492734867,0.1838343432,0.001470674746,0.1448614624,1.550826519,0.4662038943,0.03309018178,1.050061768,0.2764868522,0.01911877169,0.5625330902,0.3264897935,0.2808988764,0.2617801047,1.770692394,0.615477381,0.5875345609,0.8169598212,0.3507559268,0.8912288958,10.9278487,0.3242837814,0.3331078299,35.44546738,0.00514736161,0.2125125007,0.1963350785,0.7809282899,3.171510089,1.928054591,1.993499618,0.7816636273,0.2036884523,2.029531149,0.3948761692,0.02794282017,7.821783634,2.900905936,0.2095711512,0.6426848638,0.03603153127,0.5485616801,2.22513089,2.264103771,0.1544208483,5.059856462,1.344932055,0.17353962,0.2522207189
0.1256743502,0.521088769,0.4260666994,1.124938695,0.9410250123,0.1624570868,0.3800882786,0.2145659637,1.011525257,0.232957332,0.5977194703,0.05517410495,0.003065228053,0.6253065228,0.7969592938,0.04597842079,0.7356547327,0.7938940657,0.03371750858,0.5456105934,0.4291319274,0.5701324179,0.7141981363,2.378616969,1.14946052,0.07356547327,0.2697400687,1.241417361,0.5333496812,9.232466896,0.1072829819,0.8368072585,48.55014713,0.006130456106,0.1931093673,0.1777832271,0.5456105934,2.590117705,3.620034331,1.866723884,0.2973271211,1.805419323,3.38401177,0.4781755763,0.006130456106,0.5364149093,3.908165768,0.09502206964,0.2360225601,0.07969592938,1.16478666,1.085090731,0.1226091221,0.04291319274,1.115743011,0.4751103482,0.4015448749,0.3065228053
1.726760766,0.5012903034,0.6398549097,0.5428173108,0.3055201258,0.04491696717,0.3394197236,0.03517083279,0.730536334,0.6186676611,0.06610421584,0.06017178621,0.1012750486,0.2432296147,1.42378311,0.4512883966,0.3241649046,0.1639893047,0.01186485925,0.4712044103,0.4173887987,1.135636529,0.3127237903,1.42208813,1.179282261,0.2796716824,0.2817904073,0.1868715332,0.380522986,6.284985444,0.04195075236,0.3868791606,52.44013543,0.111021183,0.05974804124,0.1555144052,0.1457682708,2.639507439,2.640778674,1.99202512,0.4618820209,0.555953405,9.262641372,0.5962091775,0.05847680632,0.3775567712,0.7262988843,0.5152738876,1.194113335,0.1182248476,1.99033014,1.356831405,0.1300897068,0.09746134386,0.6250238357,0.15932811,0.158904365,0.3190799649
0.215915136,0.287886848,0.143943424,13.67462528,6.646431142,0.7854304221,0.0406796633,0.1877522921,0.7510091686,1.498889132,0.3004036674,0.05319648277,0.4224426573,1.768000751,1.32365366,0.6540038176,1.768000751,1.586506869,0.006258409738,0.2127859311,0.1846230873,0.6852958663,0.5194480083,3.385799668,0.9825703289,1.392496167,0.500672779,0.2346903652,0.8667897487,10.36079732,0.0500672779,0.2941452577,15.6178615,0.05319648277,0.02503363895,0.2722408236,0.4756391401,0.4318302719,0.7228463247,0.5851613105,0.1721062678,0.2753700285,1.805551209,0.1157805802,0.01251681948,5.588759896,3.119817254,0.1157805802,0.381762994,0.0406796633,2.672340958,2.318740808,9.356322558,0.9137278218,1.401883781,1.552085615,0.03755045843,0.1502018337
0.04006458897,0.7672975828,0.5008073622,0.1651146697,0.09530515862,0.05524056965,0.1141233747,0.8176818386,0.4085373997,1.279031651,0.1086600216,0.03763643207,0.04613498124,1.1466971,0.4425315964,0.1001614724,0.8073621717,0.1420471791,0.03642235361,0.2986632996,0.2555635145,0.9208785072,0.2707394952,1.053213059,2.335886945,0.4504231063,0.3636164969,0.6999162286,0.4728835577,5.28427647,0.1438682968,0.4643850086,46.31284374,0.8729224082,0.2154989255,0.8547112314,0.2695254167,1.854504838,2.065754489,1.509099518,0.9099518011,0.3642235361,2.309177219,0.329015261,0.03338715748,5.679459007,3.884444013,0.9827965083,0.7041655032,0.1723991404,2.467007418,1.535202205,3.042480605,0.24342273,1.254143043,1.741595542,0.149938689,0.1171585708
0.4073756432,0.3430531732,0.3591337907,0.3752144082,0.4502572899,0.06432246998,0.2626500858,0.2197684391,1.382933105,0.2197684391,0.2197684391,0,0.1929674099,0.4716981132,0.4341766724,0,0.8951543739,0.1072041166,0.005360205832,0.4180960549,0.444897084,0.2572898799,0.2840909091,1.549099485,2.203044597,0.1232847341,0.2304888508,0.5628216123,0.2519296741,6.207118353,0.2519296741,0.4663379074,41.18246141,0.005360205832,0.6646655232,0.3001715266,0.3698542024,4.223842196,4.684819897,2.878430532,0.1929674099,0.2894511149,2.304888508,0.8201114923,0.08040308748,0.7450686106,4.320325901,0.444897084,1.227487136,0.09648370497,1.195325901,9.112349914,0.3162521441,0.06432246998,2.4817753,0.7557890223,1.216766724,0.3644939966
0.297046509,0.2432952359,0.2489532647,2.772434084,2.639470409,0.4611293425,0.4469842707,0.07072535928,1.021274188,0.1131605749,0.1923729773,0.008487043114,0.1612538192,0.3904039833,0.6025800611,0.005658028743,2.257553468,0.2829014371,0.002829014371,0.7638338803,0.8628493833,0.2093470635,0.5092225869,1.530496775,1.513522689,0.1867149485,0.274414394,0.1386217042,0.2659273509,3.980423221,0.868507412,0.4441552563,49.8811814,0.01697408623,0.4526422994,0.2376372072,0.5856059749,2.817698314,3.193957225,2.761118026,0.121647618,0.1923729773,3.284485685,0.5742899174,0.03111915809,2.339594885,4.087925767,0.05658028743,0.4696163857,0.09618648863,1.437139301,0.8798234695,0.4894194863,0.06789634491,1.485232545,0.5233676587,0.06223831617,0.08769944551
0.6849967608,0.6792805152,1.174688465,0.5535231127,0.5106512709,0.3401166114,0.4534888152,0.0562097481,0.9041195076,1.045120232,0.07716931519,0.1962577646,0.1076559582,0.7802675203,0.9098357532,0.275332495,0.5001714874,0.1009870051,0.03239205823,2.332228193,0.7707404443,0.682138638,0.2800960329,0.6735642697,1.467169696,0.2639000038,0.4715902595,0.2600891734,0.8355245608,4.223352769,0.1095613734,1.409054533,53.61361991,0.2086429633,0.5697191418,0.4201440494,0.7050036203,4.906444114,1.173735757,1.950192447,0.181014443,0.2048321329,1.708204718,0.5373270836,0.1390953089,0.8555314203,0.8641057887,0.1886361038,0.2057848405,0.1067032506,3.009603293,3.93372966,0.2200754544,0.1667238291,0.5859151709,0.1124194962,0.1629129987,0.1086086658
